Date,Open,High,Low,Close,Volume
2023-07-26,20055.33,20167.81,20054.24,20120.26,0
2023-07-25,20046.67,20055.45,19957.94,20025.8,0
2023-07-24,20063.33,20115.54,19994.19,20008.75,0
2023-07-21,20125.71,20209.64,20039.57,20074.78,0
2023-07-20,20177.5,20303.0,20107.03,20291.36,0
2023-07-19,20117.27,20191.93,20079.32,20173.69,0
2023-07-18,20126.91,20160.29,20031.03,20090.17,0
2023-07-17,19961.88,20086.95,19944.27,20070.22,0
2023-07-14,19852.0,19967.32,19801.31,19941.55,0
2023-07-13,19842.22,19948.97,19752.38,19785.76,0
2023-07-12,19846.0,19866.48,19756.28,19772.19,0
2023-07-11,19779.95,19878.25,19768.0,19810.21,0
2023-07-10,19764.29,19798.17,19688.68,19718.21,0
2023-07-07,19818.06,19906.86,19686.55,19714.58,0
2023-07-06,19765.37,19890.7,19748.03,19879.41,0
2023-07-05,19752.17,19793.51,19713.3,19773.17,0
2023-07-04,19764.94,19797.57,19672.65,19743.99,0
2023-07-03,19608.34,19717.58,19608.34,19694.02,0
2023-06-30,19400.4,19584.39,19399.98,19571.34,0
2023-06-27,19147.53,19233.55,19136.19,19221.8,0
2023-06-26,19037.98,19120.49,19037.98,19099.37,0
2023-06-23,19153.63,19164.71,19042.27,19056.89,0
2023-06-22,19316.12,19319.35,19174.89,19187.38,0
2023-06-21,19297.09,19334.59,19248.51,19300.67,0
2023-06-20,19201.65,19282.12,19115.87,19252.76,0
2023-06-19,19295.98,19332.8,19170.7,19199.07,0
2023-06-16,19133.33,19307.52,19132.73,19268.8,0
2023-06-15,19162.45,19227.34,19103.59,19120.36,0
2023-06-14,19135.05,19190.11,19112.88,19177.33,0
2023-06-13,19016.36,19145.44,19016.36,19137.48,0
2023-06-12,18967.1,19026.84,18951.89,19003.61,0
2023-06-09,19024.41,19071.05,18945.94,18955.62,0
2023-06-08,19134.78,19181.29,19014.37,19028.16,0
2023-06-07,19025.83,19139.72,19025.83,19125.98,0
2023-06-06,18974.43,19013.87,18919.84,18994.15,0
2023-06-05,18977.1,19026.42,18973.03,18979.37,0
2023-06-02,18921.95,18965.8,18873.15,18922.63,0
2023-06-01,18934.86,18964.36,18856.89,18875.3,0
2023-05-31,18952.05,18959.16,18852.75,18909.41,0
2023-05-30,18961.94,19016.63,18937.21,18987.95,0
2023-05-29,18942.99,19006.7,18942.99,18969.03,0
2023-05-26,18696.11,18871.03,18688.49,18862.8,0
2023-05-25,18602.66,18694.49,18567.96,18678.24,0
2023-05-24,18645.04,18730.3,18611.91,18629.47,0
2023-05-23,18688.01,18753.07,18663.29,18681.93,0
2023-05-22,18496.81,18663.61,18496.27,18644.47,0
2023-05-19,18487.65,18545.02,18384.27,18529.68,0
2023-05-18,18630.07,18640.27,18440.02,18457.99,0
2023-05-17,18636.15,18651.16,18465.02,18530.7,0
2023-05-16,18764.01,18765.06,18611.28,18634.93,0
2023-05-15,18660.7,18785.29,18613.11,18724.5,0
2023-05-12,18617.66,18670.86,18526.6,18639.39,0
2023-05-11,18682.49,18684.91,18604.12,18629.37,0
2023-05-10,18594.25,18635.73,18518.82,18627.84,0
2023-05-09,18595.07,18656.41,18536.49,18570.35,0
2023-05-08,18390.24,18582.46,18390.24,18564.84,0
2023-05-05,18400.88,18509.21,18345.05,18359.89,0
2023-05-04,18397.98,18544.57,18359.51,18531.94,0
2023-05-03,18383.76,18405.93,18329.29,18376.25,0
