Date,Open,High,Low,Close,Volume
2023-07-26,26850.26,26993.9,26849.17,26934.87,0
2023-07-25,26810.14,26837.04,26712.22,26808.31,0
2023-07-24,26810.19,26892.26,26737.18,26758.33,0
2023-07-21,26858.12,26958.81,26775.48,26816.71,0
2023-07-20,26920.0,27061.06,26849.93,27045.09,0
2023-07-19,26823.97,26928.28,26795.96,26910.77,0
2023-07-18,26846.38,26889.89,26702.13,26786.23,0
2023-07-17,26639.0,26799.95,26638.93,26780.18,0
2023-07-14,26476.16,26642.92,26438.12,26612.59,0
2023-07-13,26495.21,26624.55,26346.76,26391.97,0
2023-07-12,26472.02,26506.23,26389.68,26408.0,0
2023-07-11,26349.56,26503.03,26348.93,26422.79,0
2023-07-10,26357.61,26378.93,26239.06,26276.81,0
2023-07-07,26429.91,26533.71,26261.45,26294.33,0
2023-07-06,26341.47,26509.62,26323.18,26497.12,0
2023-07-05,26293.53,26365.18,26254.77,26343.66,0
2023-07-04,26315.38,26350.0,26194.29,26278.33,0
2023-07-03,26132.03,26255.73,26132.03,26230.37,0
2023-06-30,25878.04,26092.65,25877.86,26078.65,0
2023-06-27,25564.83,25673.97,25564.83,25660.64,0
2023-06-26,25392.29,25527.7,25392.29,25506.62,0
2023-06-23,25585.68,25596.18,25398.63,25419.56,0
2023-06-22,25813.0,25817.83,25605.12,25621.85,0
2023-06-21,25776.39,25846.24,25728.74,25789.55,0
2023-06-20,25634.74,25749.76,25538.53,25716.36,0
2023-06-19,25738.4,25800.28,25598.09,25631.66,0
2023-06-16,25528.41,25744.31,25527.89,25698.79,0
2023-06-15,25536.11,25635.23,25476.79,25502.55,0
2023-06-14,25504.37,25562.86,25472.88,25549.04,0
2023-06-13,25329.03,25506.74,25329.02,25496.65,0
2023-06-12,25242.51,25329.43,25221.35,25302.89,0
2023-06-09,25302.54,25359.4,25210.97,25224.55,0
2023-06-08,25451.18,25500.81,25278.11,25296.57,0
2023-06-07,25283.98,25447.95,25283.97,25431.1,0
2023-06-06,25200.45,25256.35,25134.2,25233.59,0
