Date,Open,High,Low,Close,Volume
2023-07-26,34327.78,34471.92,34327.24,34355.33,0
2023-07-25,34245.52,34435.59,34234.28,34279.08,0
2023-07-24,34187.37,34355.47,34143.06,34172.03,0
2023-07-21,34032.42,34198.82,34014.1,34146.66,0
2023-07-20,34079.22,34193.74,34073.79,34101.53,0
2023-07-19,33860.3,34074.62,33860.12,34036.41,0
2023-07-18,34067.31,34163.42,33673.93,33828.59,0
2023-07-17,33762.6,34079.38,33761.91,33986.98,0
2023-07-14,33405.67,33725.51,33404.45,33701.9,0
2023-07-13,33584.99,33746.89,33253.11,33322.13,0
2023-07-12,33385.35,33568.85,33379.3,33502.21,0
2023-07-11,33087.48,33361.88,33086.89,33312.15,0
2023-07-10,33178.07,33251.35,32987.75,33042.06,0
2023-07-07,33203.83,33358.31,33036.53,33129.41,0
2023-07-06,33036.08,33247.7,33031.69,33224.09,0
2023-07-05,32827.05,33036.54,32817.21,33004.56,0
2023-07-04,32869.76,32990.0,32716.56,32802.63,0
2023-07-03,32694.64,32884.16,32693.7,32786.31,0
2023-06-30,32473.21,32653.5,32472.82,32602.14,0
2023-06-27,32259.76,32508.75,32259.76,32412.56,0
2023-06-26,31948.84,32244.26,31945.37,32216.89,0
2023-06-23,32369.25,32392.91,31902.03,31991.18,0
2023-06-22,32627.8,32710.29,32276.07,32369.66,0
2023-06-21,32556.18,32765.32,32534.18,32577.35,0
2023-06-20,32360.05,32533.75,32319.89,32497.76,0
2023-06-19,32355.17,32531.56,32330.24,32368.74,0
2023-06-16,32133.16,32362.35,32131.35,32292.19,0
2023-06-15,32036.68,32190.2,32014.57,32049.91,0
2023-06-14,31947.09,32048.81,31929.28,32011.9,0
2023-06-13,31693.42,31905.07,31693.3,31876.7,0
2023-06-12,31421.31,31640.7,31421.14,31617.37,0
2023-06-09,31412.15,31523.21,31337.86,31391.99,0
2023-06-08,31582.67,31680.28,31332.72,31385.13,0
2023-06-07,31263.06,31565.16,31262.26,31533.68,0
2023-06-06,31095.09,31193.01,31022.25,31174.98,0
2023-06-05,31002.89,31134.81,31002.59,31043.53,0
2023-06-02,30806.42,30969.95,30802.49,30885.7,0
2023-06-01,30568.38,30789.87,30565.54,30711.67,0
2023-05-31,30313.23,30554.15,30291.65,30524.82,0
2023-05-30,30259.76,30367.84,30254.56,30319.37,0
2023-05-29,30226.89,30328.85,30208.91,30253.33,0
2023-05-26,30040.4,30190.63,30039.45,30162.66,0
2023-05-25,29963.66,30042.25,29933.37,30014.82,0
2023-05-24,29881.58,30059.93,29827.17,29934.22,0
2023-05-23,29882.69,30031.95,29882.69,29903.15,0
2023-05-22,29733.88,29894.82,29646.77,29868.97,0
2023-05-19,29838.31,29878.41,29534.85,29748.14,0
2023-05-18,29944.66,30063.35,29768.7,29796.33,0
2023-05-17,29814.02,29990.74,29720.33,29874.47,0
2023-05-16,29809.44,29952.9,29785.52,29798.94,0
2023-05-15,29619.84,29798.63,29568.87,29761.84,0
2023-05-12,29639.2,29724.1,29570.3,29616.61,0
2023-05-11,29512.29,29695.21,29511.89,29641.57,0
2023-05-10,29360.03,29469.31,29234.07,29440.08,0
2023-05-09,29493.73,29664.91,29327.8,29344.41,0
2023-05-08,29321.47,29492.52,29319.71,29448.32,0
2023-05-05,29394.91,29506.86,29250.28,29283.87,0
2023-05-04,29173.75,29433.66,29168.36,29399.5,0
2023-05-03,29071.82,29243.61,29047.57,29157.26,0
2023-05-02,28985.46,29217.42,28985.46,29100.5,0
2023-04-28,28702.69,28944.79,28702.6,28917.07,0
2023-04-27,28505.84,28675.94,28500.28,28654.98,0
2023-04-26,28361.39,28515.07,28358.45,28479.34,0
2023-04-25,28360.01,28486.88,28350.47,28384.18,0
2023-04-24,28248.62,28369.71,28244.03,28329.13,0
2023-04-21,28316.44,28373.74,28141.31,28234.26,0
2023-04-20,28312.97,28416.97,28301.49,28310.02,0
2023-04-19,28260.33,28391.53,28258.19,28281.1,0
2023-04-18,28188.56,28322.16,28183.9,28247.45,0
2023-04-17,28038.66,28212.73,28013.81,28186.48,0
2023-04-13,28048.68,28187.94,28047.77,28149.58,0
2023-04-12,27963.03,28116.85,27961.51,28056.09,0
2023-04-11,27815.48,27973.73,27814.83,27942.8,0
2023-04-10,27757.7,27849.79,27736.81,27771.0,0
2023-04-06,27530.54,27744.41,27507.05,27725.34,0
2023-04-05,27278.44,27553.79,27263.62,27531.62,0
2023-04-03,27043.18,27307.59,27042.08,27271.27,0
2023-03-31,26692.3,27033.49,26692.09,26957.01,0
2023-03-29,26134.03,26627.71,26128.83,26598.72,0
2023-03-28,26410.76,26417.21,26120.32,26159.03,0
2023-03-27,26724.97,26781.47,26322.02,26366.45,0
2023-03-24,27137.25,27188.43,26732.13,26767.0,0
2023-03-23,27148.95,27254.7,27109.13,27139.93,0
2023-03-22,27089.07,27260.16,27087.16,27181.06,0
2023-03-21,26972.27,27079.27,26971.28,27034.33,0
2023-03-20,27060.4,27128.41,26780.96,26899.39,0
2023-03-17,27063.05,27248.12,27062.32,27167.74,0
2023-03-16,27100.61,27121.82,26704.95,26980.75,0
2023-03-15,27287.34,27448.8,27137.57,27169.16,0
2023-03-14,27329.21,27427.91,27045.5,27142.63,0
2023-03-13,27799.69,27961.03,27313.33,27371.95,0
2023-03-10,27973.9,28022.89,27793.78,27952.11,0
2023-03-09,28203.22,28321.36,28094.47,28117.4,0
2023-03-08,28006.77,28209.61,27928.98,28173.46,0
2023-03-06,27883.4,28209.74,27881.51,28096.03,0
2023-03-03,27714.69,27905.16,27714.69,27846.4,0
2023-03-02,27739.48,27803.03,27643.76,27658.21,0
2023-03-01,27339.03,27732.17,27332.23,27718.13,0
2023-02-28,27236.77,27379.09,27236.77,27341.14,0
2023-02-27,27517.28,27573.01,27162.03,27232.39,0
2023-02-24,27687.06,27811.71,27558.59,27584.59,0
2023-02-23,27639.41,27716.17,27417.92,27626.56,0
2023-02-22,27813.57,27886.99,27543.55,27610.32,0
2023-02-21,28022.31,28066.32,27895.94,27914.41,0
2023-02-20,28106.79,28163.72,27924.66,28002.27,0
2023-02-17,28090.66,28187.59,28018.53,28046.4,0
2023-02-16,27931.28,28160.02,27931.28,28112.76,0
2023-02-15,27742.28,27886.0,27728.21,27861.86,0
2023-02-14,27950.67,27987.06,27735.93,27761.38,0
2023-02-13,28284.7,28314.87,27912.36,27932.15,0
2023-02-10,28125.85,28363.59,28100.79,28263.05,0
2023-02-09,28185.7,28210.57,28081.74,28127.41,0
2023-02-08,28006.49,28193.51,27950.35,28169.62,0
2023-02-07,28034.73,28077.64,27875.33,27956.74,0
2023-02-06,27865.13,28042.88,27855.0,28000.37,0
2023-02-03,28032.85,28119.23,27586.08,27862.68,0
2023-02-02,27870.14,28211.11,27787.87,27994.16,0
2023-02-01,28363.43,28612.06,27591.76,27894.98,0
2023-01-31,27680.71,28267.1,27594.44,28205.89,0
2023-01-30,27529.59,27927.56,27433.54,27596.7,0
2023-01-27,28169.79,28269.79,27353.31,27623.85,0
2023-01-25,28405.91,28414.69,28069.02,28154.89,0
2023-01-24,28582.36,28666.55,28394.58,28422.45,0
2023-01-23,28679.07,28725.5,28523.27,28544.4,0
2023-01-20,28773.29,28853.06,28611.16,28630.19,0
2023-01-19,28793.89,28862.48,28735.98,28773.27,0
2023-01-18,28832.33,28892.75,28803.8,28841.63,0
2023-01-17,28853.34,28864.1,28696.6,28792.83,0
2023-01-16,28904.51,29007.89,28810.77,28830.05,0
2023-01-13,28823.18,28889.62,28756.42,28858.3,0
2023-01-12,28856.69,28945.89,28690.61,28795.33,0
2023-01-11,28838.8,28968.39,28779.26,28800.51,0
2023-01-10,28968.16,28976.17,28712.58,28794.89,0
2023-01-09,28935.05,29072.57,28858.84,28928.06,0
2023-01-06,28997.45,29049.21,28693.37,28783.56,0
2023-01-05,29077.2,29116.76,28833.39,28995.87,0
2023-01-04,29257.44,29304.09,28914.76,28993.03,0
2023-01-03,29222.91,29311.16,29162.51,29222.69,0
2023-01-02,28980.35,29189.73,28933.69,29169.29,0
2022-12-30,28852.37,29073.83,28843.49,28926.79,0
2022-12-29,28571.15,28727.85,28485.58,28707.42,0
2022-12-28,28551.21,28699.33,28388.25,28645.49,0
2022-12-27,28347.72,28565.11,28206.97,28517.04,0
2022-12-26,27051.92,28151.21,27051.92,28106.75,0
2022-12-23,28064.16,28195.04,27214.49,27252.68,0
2022-12-22,28975.35,29189.61,28235.25,28421.52,0
2022-12-21,29689.11,29811.52,28885.86,28949.96,0
2022-12-20,29605.25,29694.3,29415.71,29596.46,0
2022-12-19,29554.58,29656.71,29482.65,29602.03,0
2022-12-16,29669.23,29889.71,29425.75,29516.75,0
2022-12-15,30008.12,30092.66,29768.41,29802.29,0
2022-12-14,29854.73,30040.05,29854.31,29986.62,0
2022-12-13,29757.59,29830.8,29748.63,29785.49,0
2022-12-12,29530.01,29683.62,29389.95,29665.37,0
2022-12-09,29943.4,30005.54,29397.18,29558.56,0
2022-12-08,29795.78,29896.94,29791.77,29855.79,0
2022-12-07,29904.71,29976.85,29703.76,29759.79,0
2022-12-06,29943.7,30037.51,29859.93,29889.84,0
2022-12-05,29974.22,30104.74,29959.52,29986.3,0
2022-12-02,29724.28,29927.82,29720.39,29911.79,0
2022-12-01,29614.27,29816.18,29614.27,29704.91,0
2022-11-30,29367.18,29556.6,29365.76,29519.61,0
